"country_area","year","value"
"Australia","2014","542084534535"
"Australia","2013","39691345353"
"Australia","2012","4064626664774"
"Australia","2011","403705528313991"
"Australia","2010","406200993184341"
"Australia","2009","40844847899963"
"Australia","2008","404237828214077"
"Australia","2007","398816453543549"
"Australia","2006","391134100909449"
"Australia","2005","385581132806466"
"Australia","2004","381519261592783"
"Australia","2003","368345977425107"
"Australia","2002","361861387896028"
"Australia","2001","357653329899303"
"Australia","2000","349885433108928"
"Australia","1999","343713906947774"
"Australia","1998","334328142646602"
"Australia","1997","320439116819391"
"Australia","1996","311914819824229"
"Australia","1995","305162543548735"
"Australia","1994","293830709141192"
"Australia","1993","289142267681326"
"Australia","1992","284766092717838"
"Australia","1991","279741639011863"
"Australia","1990","278265898940768"
"Austria","2014","642625639931315"
"Austria","2013","679571211123863"
"Austria","2012","676986586349119"
"Austria","2011","703271670444138"
"Austria","2010","72531826129136"
"Austria","2009","676827251493548"
"Austria","2008","740662557920763"
"Austria","2007","742681107226333"
"Austria","2006","769349515340371"
"Austria","2005","795885018807541"
"Austria","2004","783889974250799"
"Austria","2003","780239538963192"
"Austria","2002","721265914446168"
"Austria","2001","702994711482287"
"Austria","2000","662747432545115"
"Austria","1999","656601336422327"
"Austria","1998","670472506680177"
"Austria","1997","674558927304212"
"Austria","1996","676672626980903"
"Austria","1995","642021592201769"
"Austria","1994","611891025048542"
"Austria","1993","607907577213156"
"Austria","1992","604322493410185"
"Austria","1991","65903513308256"
"Austria","1990","622971655681668"
"Belarus","2014","60615645730992"
"Belarus","2013","61510987153813"
"Belarus","2012","60636851387067"
"Belarus","2011","61128400592577"
"Belarus","2010","61632492704327"
"Belarus","2009","59596205375555"
"Belarus","2008","63846103794367"
"Belarus","2007","61563881729088"
"Belarus","2006","62229398882869"
"Belarus","2005","5966473908178"
"Belarus","2004","5845764761596"
"Belarus","2003","54845145835185"
"Belarus","2002","53843704423847"
"Belarus","2001","53783847673632"
"Belarus","2000","53686857490672"
"Belarus","1999","55033952116896"
"Belarus","1998","57426329584039"
"Belarus","1997","60971816305307"
"Belarus","1996","57251355700374"
"Belarus","1995","5600593938238"
"Belarus","1994","62402279082903"
"Belarus","1993","75551755291625"
"Belarus","1992","8706081028961"
"Belarus","1991","93649166141388"
"Belarus","1990","100438095063708"
"Belgium","2014","963254131833302"
"Belgium","2013","101744736736883"
"Belgium","2012","100931595609756"
"Belgium","2011","104945713770963"
"Belgium","2010","114155386728776"
"Belgium","2009","107282543508312"
"Belgium","2008","120362609842562"
"Belgium","2007","118027408646158"
"Belgium","2006","122319593759433"
"Belgium","2005","125118016504076"
"Belgium","2004","12864048346799"
"Belgium","2003","127523989700176"
"Belgium","2002","126015194675856"
"Belgium","2001","125649370538717"
"Belgium","2000","126315209948975"
"Belgium","1999","124208071769964"
"Belgium","1998","129737090031462"
"Belgium","1997","123495742758683"
"Belgium","1996","129010471708927"
"Belgium","1995","125519441990638"
"Belgium","1994","124426885709848"
"Belgium","1993","121156964954729"
"Belgium","1992","122217919518023"
"Belgium","1991","123130652897225"
"Belgium","1990","119982503418506"
"Bulgaria","2014","45139955286201"
"Bulgaria","2013","425349272034699"
"Bulgaria","2012","481175560830313"
"Bulgaria","2011","530209811161954"
"Bulgaria","2010","476786489573594"
"Bulgaria","2009","454878735503956"
"Bulgaria","2008","536551401671903"
"Bulgaria","2007","551844241047849"
"Bulgaria","2006","514462829381283"
"Bulgaria","2005","501911160644292"
"Bulgaria","2004","491703376894348"
"Bulgaria","2003","499711515762142"
"Bulgaria","2002","457862947197982"
"Bulgaria","2001","485689178318705"
"Bulgaria","2000","44896670545605"
"Bulgaria","1999","45751789097251"
"Bulgaria","1998","521433567693638"
"Bulgaria","1997","547901341566389"
"Bulgaria","1996","57581194759982"
"Bulgaria","1995","572216062924032"
"Bulgaria","1994","556490813153431"
"Bulgaria","1993","572039355176784"
"Bulgaria","1992","565515935722778"
"Bulgaria","1991","597693415026104"
"Bulgaria","1990","781978812570199"
"Canada","2014","574099775511611"
"Canada","2013","573094038846396"
"Canada","2012","563423613154917"
"Canada","2011","55815272293811"
"Canada","2010","555003760260925"
"Canada","2009","542829458896225"
"Canada","2008","577444930222255"
"Canada","2007","596041321973836"
"Canada","2006","573479269701141"
"Canada","2005","579225335719904"
"Canada","2004","585414860574334"
"Canada","2003","587306678537712"
"Canada","2002","569862145645112"
"Canada","2001","564617020300164"
"Canada","2000","572290385518472"
"Canada","1999","550183063388038"
"Canada","1998","533794453645326"
"Canada","1997","525120011175522"
"Canada","1996","510619682210148"
"Canada","1995","49722483692526"
"Canada","1994","482691671271798"
"Canada","1993","467607237235461"
"Canada","1992","468546458912059"
"Canada","1991","454246137946001"
"Canada","1990","463493332387577"
"Croatia","2014","176073224145688"
"Croatia","2013","183594998410627"
"Croatia","2012","187763813482483"
"Croatia","2011","206144404738916"
"Croatia","2010","21183709310531"
"Croatia","2009","219656352675347"
"Croatia","2008","237153843178607"
"Croatia","2007","249553759314165"
"Croatia","2006","236849350307817"
"Croatia","2005","234518458466746"
"Croatia","2004","230052348535353"
"Croatia","2003","233552211046544"
"Croatia","2002","220311266650621"
"Croatia","2001","209431099586839"
"Croatia","2000","197891217501208"
"Croatia","1999","20215653226001"
"Croatia","1998","193723876004329"
"Croatia","1997","186664669752133"
"Croatia","1996","175878984604534"
"Croatia","1995","169928004192757"
"Croatia","1994","163421818762402"
"Croatia","1993","170812280227503"
"Croatia","1992","166071344792414"
"Croatia","1991","172689103457996"
"Croatia","1990","23390075209187"
"Cyprus","2014","6878555308563"
"Cyprus","2013","6449610812027"
"Cyprus","2012","7160971875548"
"Cyprus","2011","7696667805268"
"Cyprus","2010","8004912020822"
"Cyprus","2009","8372396591774"
"Cyprus","2008","8620395581741"
"Cyprus","2007","8458664261444"
